Title,Content,Tote Color,Tote Instructions,Set Out Time,Special Instructions
Compact Discs/CD,,blue,Put this item in your Blue Tote,"Place your blue tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Still have questions? Call 311 and we'll be happy to assist you.
DVDs,,specialty,Please see special instructions,,Visit https://www.buffalony.gov/382/Streets-Sanitation for donation locations. Still have questions? Call 311 and we'll be happy to assist you.
Cell Phones,,specialty,Please see special instructions,,Take electronic waste to the Electronic Recycling Drop-Off location at 1120 Seneca St. Still have questions? Call 311 and we'll be happy to assist you.
Aerosol cans (empty),,green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Empty and rinse bottles first. Still have questions? Call 311 and we'll be happy to assist you.
Plastic Bottle,"Bottle, Pop Bottle, Soda Bottle",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Put all plastic with recycling codes 1 through 7 in the green tote. Still have questions? Call 311 and we'll be happy to assist you.
Potato Chip Bag,,blue,Put this item in your Blue Tote,"Place your blue tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day",
Plastic Container,"Container, Tupperware",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Put all plastic with recycling codes 1 through 7 in the green tote. Still have questions? Call 311 and we'll be happy to assist you.
Plastic Tub,"Tub, Storage Tub",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Put all plastic with recycling codes 1 through 7 in the green tote. Still have questions? Call 311 and we'll be happy to assist you.
Plastic Lid,"Lid, Coffee Lid, Cup Top",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Put all plastic with recycling codes 1 through 7 in the green tote. Still have questions? Call 311 and we'll be happy to assist you.
Lawn Furniture,"Plastic Chairs, Plastic Chair, Outdoor Furniture, Patio Furniture",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Still have questions? Call 311 and we'll be happy to assist you.
Laundry Basket,"Basket, Clothes Basket, Plastic Hamper",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Still have questions? Call 311 and we'll be happy to assist you.
5-Gallon Bucket,"Bucket, White Bucket",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Still have questions? Call 311 and we'll be happy to assist you.
Soda Crate,"Milk Crate, Plastic Crate",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Still have questions? Call 311 and we'll be happy to assist you.
Garbage Can,"Garbage Bucket, Plastic Garbage Bin, Garbage Bin",green,Put this item in your Green Tote,"Place your garbage bin out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Put your rinsed and emptied trash can in the green tote.  Still have questions? Call 311 and we'll be happy to assist you.
Glass Bottles,"Glass Bottle, Glass Salad Dressing Bottles",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Empty and rinse bottles first. Still have questions? Call 311 and we'll be happy to assist you.
Liquor Bottles,"Alcohol Bottles, Vodka Bottles",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Empty and rinse bottles first. Still have questions? Call 311 and we'll be happy to assist you.
Beer Bottles,"Beer Bottle, Beer, Beer Container",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Empty and rinse bottles first. Still have questions? Call 311 and we'll be happy to assist you.
Soda Bottles,"Root Beer Bottles, Glass Soda Bottles, Plastic Soda Bottles, Plastic Pop Bottles, Glass Pop Bottles",green,Put this item in your Green Tote,"Place your green tote out for collection no earlier than 7 p.m. the evening before, or no later than 7 a.m. on the morning of your regularly scheduled collection day.",Empty and rinse bottles first. Still have questions? Call 311 and we'll be happy to assist you.
